time,rate,Current Probability %,Previous Day Probability %
2017-02-01,50-75,97.0,97.0
2017-02-01,75-100,3.0,3.0
2017-03-15,50-75,75.5,79.8
2017-03-15,75-100,23.8,19.7
2017-03-15,100-125,0.7,0.5
2017-05-03,50-75,62.6,66.2
2017-05-03,75-100,32.7,29.9
2017-05-03,100-125,4.6,3.8
2017-05-03,125-150,0.1,0.1
2017-06-14,50-75,30.8,32.6
2017-06-14,75-100,47.9,48.3
2017-06-14,100-125,18.9,17.1
2017-06-14,125-150,2.4,2.0
2017-06-14,150-175,0.1,0.0
2017-07-26,50-75,25.5,26.9
2017-07-26,75-100,44.9,45.6
2017-07-26,100-125,23.9,22.5
2017-07-26,125-150,5.3,4.6
2017-07-26,150-175,0.5,0.4
2017-07-26,175-200,0.0,0.0
2017-09-20,50-75,18.5,18.1
2017-09-20,75-100,39.6,39.5
2017-09-20,100-125,29.6,30.1
2017-09-20,125-150,10.3,10.5
2017-09-20,150-175,1.8,1.8
2017-09-20,175-200,0.1,0.1
2017-09-20,200-225,0.0,0.0
2017-11-01,50-75,14.8,14.8
2017-11-01,75-100,35.4,35.6
2017-11-01,100-125,31.6,31.8
2017-11-01,125-150,14.2,14.0
2017-11-01,150-175,3.5,3.3
2017-11-01,175-200,0.5,0.4
2017-11-01,200-225,0.0,0.0
2017-11-01,225-250,0.0,0.0
2017-12-13,50-75,7.2,7.2
2017-12-13,75-100,24.8,24.9
2017-12-13,100-125,33.6,33.8
2017-12-13,125-150,23.2,23.2
2017-12-13,150-175,9.0,8.8
2017-12-13,175-200,2.0,1.9
2017-12-13,200-225,0.3,0.2
2017-12-13,225-250,0.0,0.0
2017-12-13,250-275,0.0,0.0
